                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.4498,                0.86773,                0.89257,                0.55166,                0.72116,                0.61541,                0.31432,                  1.489,                 0.9549,                0.91022,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.4823,                0.87895,                0.89907,                0.69178,                0.68498,                 0.7306,                0.37129,                  1.414,                0.82798,                0.89213,              0.0089407,              0.0089407,              0.0089407
                    109,                  1.498,                0.87718,                0.90173,                0.63055,                0.64631,                0.66648,                0.34058,                 1.5276,                0.90996,                0.91097,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.4815,                0.88792,                0.90505,                 0.4665,                0.58438,                0.50994,                0.20805,                 1.7222,                 1.1249,                0.95266,              0.0089209,              0.0089209,              0.0089209
                    111,                 1.4754,                0.85651,                0.90026,                0.87595,                0.77974,                0.86126,                0.48892,                 1.3012,                  0.672,                0.87318,               0.008911,               0.008911,               0.008911
                    112,                 1.4917,                0.86517,                0.89728,                0.68125,                0.64342,                 0.7023,                0.35755,                 1.4307,                0.84818,                0.90178,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.4642,                0.85796,                0.90017,                0.67814,                0.66057,                0.71903,                0.36174,                 1.4626,                0.87554,                0.90538,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.4598,                0.84453,                0.89347,                0.82538,                0.82143,                0.89401,                 0.5079,                 1.2422,                0.64339,                0.86735,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.4747,                0.87562,                0.90014,                  0.511,                0.58981,                0.50539,                0.22555,                 1.6638,                 1.1275,                0.95039,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.4391,                0.84316,                0.89406,                0.66173,                0.68826,                0.70038,                0.34273,                 1.4586,                0.81499,                0.90053,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.4429,                0.83649,                 0.8959,                0.57455,                0.69196,                0.67387,                0.32249,                 1.5656,                0.87192,                0.91574,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.4465,                0.83935,                0.89944,                0.66949,                0.74566,                 0.7665,                0.41347,                 1.3326,                 0.7812,                0.88364,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.4506,                0.84549,                0.90636,                0.78825,                 0.7737,                0.83984,                0.43931,                 1.3261,                0.72652,                0.87828,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.4551,                0.81971,                0.88197,                0.81632,                0.74556,                0.81386,                0.42874,                   1.31,                0.70831,                0.87336,              0.0088219,              0.0088219,              0.0088219
                    121,                  1.423,                0.82471,                0.88766,                0.53011,                0.60791,                0.60475,                0.27831,                 1.5769,                 1.0164,                0.92519,               0.008812,               0.008812,               0.008812
                    122,                 1.4263,                0.82047,                0.88842,                0.60192,                 0.6153,                0.65587,                0.31186,                 1.5392,                0.96232,                0.92225,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.4219,                0.81969,                0.88947,                0.54797,                0.65691,                0.61921,                0.28368,                 1.5199,                0.95597,                0.91611,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.4209,                0.83777,                0.89363,                0.72448,                 0.8333,                0.81142,                0.44105,                 1.3962,                0.71264,                0.89097,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.4459,                0.84431,                 0.8952,                0.78722,                 0.6987,                0.77537,                0.40476,                 1.3711,                 0.7882,                0.88096,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.4343,                0.83921,                0.88761,                0.75164,                0.71859,                 0.7808,                 0.4169,                  1.371,                0.76137,                0.88499,              0.0087625,              0.0087625,              0.0087625
                    127,                  1.425,                0.82962,                0.88653,                0.78594,                0.75192,                0.80743,                0.44956,                 1.3208,                0.68371,                0.87505,              0.0087526,              0.0087526,              0.0087526
                    128,                 1.4468,                0.85044,                0.89445,                0.80289,                0.80789,                0.84395,                0.44825,                 1.3891,                0.70194,                0.88358,              0.0087427,              0.0087427,              0.0087427
                    129,                 1.4138,                0.83085,                0.89357,                0.73336,                0.78775,                0.83761,                0.43098,                  1.368,                0.69013,                0.88208,              0.0087328,              0.0087328,              0.0087328
                    130,                 1.4265,                0.82829,                 0.8955,                0.82433,                0.67696,                0.79357,                0.38334,                 1.4184,                0.84692,                0.88824,              0.0087229,              0.0087229,              0.0087229
                    131,                 1.4301,                0.83126,                 0.8927,                0.82378,                0.74541,                0.82614,                0.40656,                 1.3832,                0.74435,                 0.8892,               0.008713,               0.008713,               0.008713
                    132,                 1.4367,                0.84505,                0.90069,                0.70637,                0.64831,                 0.7087,                0.38023,                 1.4276,                0.93944,                0.89629,              0.0087031,              0.0087031,              0.0087031
                    133,                 1.4033,                0.81057,                0.88368,                0.60072,                0.70246,                0.68465,                0.36396,                 1.4806,                   0.88,                0.90398,              0.0086932,              0.0086932,              0.0086932
                    134,                 1.4203,                0.83262,                0.89138,                0.84505,                0.77956,                   0.87,                0.49692,                 1.2242,                 0.6707,                0.86742,              0.0086833,              0.0086833,              0.0086833
                    135,                 1.4038,                0.81147,                0.88458,                0.63864,                0.68992,                0.70652,                0.34528,                 1.4481,                0.85293,                0.89996,              0.0086734,              0.0086734,              0.0086734
                    136,                 1.4028,                0.80821,                0.88607,                0.48416,                0.64613,                0.55059,                0.25606,                 1.6524,                 1.0792,                  0.941,              0.0086635,              0.0086635,              0.0086635
                    137,                 1.4162,                0.81024,                0.88676,                0.84606,                0.82698,                0.88494,                0.50244,                  1.293,                0.66928,                0.87468,              0.0086536,              0.0086536,              0.0086536
                    138,                 1.4279,                0.81993,                0.88848,                0.87833,                0.77584,                0.88595,                0.52497,                 1.2477,                 0.6419,                0.87387,              0.0086437,              0.0086437,              0.0086437
                    139,                 1.4046,                0.81184,                 0.8901,                0.48802,                0.56456,                0.52579,                 0.2442,                 1.7137,                 1.1173,                 0.9594,              0.0086338,              0.0086338,              0.0086338
                    140,                 1.4116,                0.80079,                0.89127,                0.70916,                0.71121,                0.72185,                0.37823,                 1.4686,                0.87166,                0.90933,              0.0086239,              0.0086239,              0.0086239
                    141,                 1.4042,                0.80364,                0.88789,                0.50086,                 0.4999,                0.46575,                0.18638,                 1.9188,                 1.1995,                 0.9969,               0.008614,               0.008614,               0.008614
                    142,                 1.3914,                0.79747,                0.88611,                0.79181,                0.71334,                0.81384,                 0.4342,                 1.4471,                0.83235,                0.89086,              0.0086041,              0.0086041,              0.0086041
                    143,                 1.4267,                0.81729,                0.88979,                0.72822,                0.72468,                0.76979,                0.35867,                  1.581,                0.83303,                0.91777,              0.0085942,              0.0085942,              0.0085942
                    144,                 1.3941,                0.79017,                0.87886,                0.76794,                0.69173,                0.76499,                0.36308,                 1.5286,                0.79977,                0.90134,              0.0085843,              0.0085843,              0.0085843
                    145,                 1.3857,                0.80241,                0.88726,                0.57245,                0.72397,                 0.6862,                0.34808,                  1.441,                0.83485,                0.90098,              0.0085744,              0.0085744,              0.0085744
                    146,                 1.3895,                0.80806,                0.89143,                0.77543,                0.61874,                0.73552,                 0.3331,                  1.497,                0.81434,                0.91155,              0.0085645,              0.0085645,              0.0085645
                    147,                 1.3852,                0.79979,                0.88365,                0.83167,                0.74758,                0.84396,                0.46519,                 1.3011,                0.68115,                0.87669,              0.0085546,              0.0085546,              0.0085546
                    148,                 1.3835,                0.79666,                0.87631,                0.60924,                0.59149,                0.61603,                0.28551,                 1.6773,                 1.0365,                0.94233,              0.0085447,              0.0085447,              0.0085447
                    149,                 1.3865,                0.80319,                0.88814,                0.81912,                0.78943,                0.85175,                0.48785,                 1.2866,                0.66027,                 0.8718,              0.0085348,              0.0085348,              0.0085348
